,wins,rewards,scores,steps,high_tile
474,0.1,0.6,62.8,78.9,3.5
475,0.2,1.2,73.7,84.4,3.9
476,0.2,1.2,72.4,90.9,4.0
477,0.3,1.8,71.2,70.4,4.0
478,0.0,0.0,62.5,64.6,3.7
479,0.1,0.6,67.1,74.4,3.8
480,0.0,0.0,55.0,59.4,3.5
481,0.1,0.6,73.2,90.0,4.0
482,0.2,1.2,70.7,72.5,4.0
483,0.0,0.0,66.5,69.2,3.6
484,0.3,1.8,70.1,72.5,3.9
485,0.1,0.6,69.6,78.4,4.0
486,0.1,0.6,52.2,61.2,3.4
487,0.1,0.6,63.5,80.1,3.7
488,0.1,0.6,79.4,94.5,4.0
489,0.1,0.6,56.5,64.1,3.6
490,0.3,1.8,64.7,64.0,3.9
491,0.1,0.6,61.7,77.6,3.8
492,0.1,0.6,60.9,75.4,3.6
493,0.0,0.0,54.1,64.3,3.4
494,0.4,2.4,69.8,70.1,3.9
495,0.2,1.2,60.3,74.4,3.5
496,0.1,0.6,66.7,67.4,3.7
497,0.2,1.2,70.7,82.5,3.8
498,0.2,1.2,65.5,78.2,4.0
499,0.3,1.8,55.6,56.3,3.7
500,0.3,1.8,76.2,83.0,4.0
501,0.2,1.2,66.1,82.6,3.7
502,0.2,1.2,64.9,70.6,3.8
503,0.2,1.2,72.6,75.1,3.9
504,0.1,0.6,68.3,79.8,3.8
505,0.0,0.0,53.6,60.7,3.3
506,0.0,0.0,54.2,71.6,3.5
507,0.0,0.0,54.5,59.8,3.2
508,0.2,1.2,76.7,76.9,4.0
509,0.1,0.6,67.3,70.5,3.6
510,0.1,0.6,48.0,60.2,3.3
511,0.2,1.2,53.3,54.5,3.4
512,0.2,1.2,77.3,95.2,4.0
513,0.1,0.6,62.7,82.7,3.8
514,0.0,0.0,75.8,94.3,3.9
515,0.4,2.4,67.0,66.8,4.2
516,0.1,0.6,63.1,75.7,3.8
517,0.2,1.2,68.6,75.6,3.9
518,0.0,0.0,69.0,87.0,3.6
519,0.4,2.4,74.7,103.2,4.2
520,0.1,0.6,58.3,61.0,3.7
521,0.3,1.8,63.4,78.8,3.7
522,0.1,0.6,76.5,85.0,3.9
523,0.1,0.6,67.6,82.4,3.8
524,0.2,1.2,73.6,87.1,4.1
525,0.2,1.2,66.8,81.3,3.9
526,0.2,1.2,66.4,74.8,3.8
527,0.0,0.0,61.0,73.0,3.5
528,0.1,0.6,60.9,77.7,3.6
529,0.2,1.2,62.9,78.3,3.7
530,0.3,1.8,75.8,97.2,4.1
531,0.0,0.0,59.2,75.7,3.6
532,0.5,3.0,79.0,88.0,4.3
533,0.2,1.2,75.4,85.9,4.1
534,0.3,1.8,70.4,89.8,3.9
535,0.1,0.6,60.0,85.2,3.5
536,0.3,1.8,77.0,105.9,3.9
537,0.0,0.0,58.5,66.4,3.4
538,0.1,0.6,71.3,95.1,3.8
539,0.2,1.2,72.8,90.8,4.0
540,0.3,1.8,70.9,105.2,4.2
541,0.0,0.0,63.3,88.6,3.5
542,0.3,1.8,65.6,87.0,3.8
543,0.0,0.0,59.6,76.6,3.5
544,0.2,1.2,70.7,83.2,3.8
545,0.0,0.0,68.0,83.9,3.8
546,0.0,0.0,55.6,71.9,3.5
547,0.1,0.6,55.2,75.8,3.5
548,0.0,0.0,58.9,87.1,3.5
549,0.1,0.6,50.5,74.5,3.3
550,0.2,1.2,77.0,95.2,3.9
551,0.3,1.8,68.5,83.9,4.1
552,0.0,0.0,55.8,70.4,3.6
553,0.2,1.2,61.1,89.8,3.7
554,0.1,0.6,60.9,98.6,3.6
555,0.1,0.6,70.7,96.7,3.8
556,0.1,0.6,66.4,82.8,3.7
557,0.1,0.6,57.8,75.3,3.3
558,0.0,0.0,60.4,86.4,3.5
559,0.0,0.0,56.2,93.6,3.4
560,0.0,0.0,70.5,108.2,3.6
561,0.1,0.6,69.2,92.5,4.0
562,0.1,0.6,73.2,101.4,3.9
563,0.1,0.6,53.6,75.0,3.5
564,0.2,1.2,71.0,97.5,4.1
565,0.1,0.6,54.4,81.6,3.4
566,0.2,1.2,57.6,87.0,3.6
567,0.1,0.6,54.8,69.7,3.4
568,0.1,0.6,70.3,117.6,3.7
569,0.2,1.2,69.4,105.9,3.9
570,0.2,1.2,83.2,110.8,4.2
571,0.2,1.2,56.3,83.4,3.7
572,0.1,0.6,58.2,90.5,3.7
573,0.2,1.2,65.0,107.9,3.8
574,0.2,1.2,77.6,109.2,4.1
575,0.1,0.6,53.1,81.1,3.4
576,0.1,0.6,73.9,115.3,3.9
577,0.0,0.0,60.7,94.0,3.4
578,0.0,0.0,70.4,102.2,3.7
579,0.0,0.0,54.7,84.1,3.3
580,0.1,0.6,65.9,83.8,3.8
581,0.0,0.0,63.3,93.4,3.6
582,0.0,0.0,41.3,77.6,3.1
583,0.2,1.2,66.9,102.2,3.8
584,0.1,0.6,56.1,95.5,3.4
585,0.1,0.6,61.0,74.7,3.7
586,0.1,0.6,56.4,97.0,3.5
587,0.1,0.6,72.5,124.4,3.7
588,0.0,0.0,54.8,92.8,3.5
589,0.0,0.0,64.6,102.0,3.5
590,0.1,0.6,67.3,114.3,3.7
591,0.0,0.0,67.4,129.7,3.7
592,0.3,1.8,75.4,127.2,4.2
593,0.1,0.6,64.5,96.1,3.8
594,0.2,1.2,69.7,108.4,3.7
595,0.1,0.6,60.1,112.8,3.8
596,0.0,0.0,53.2,110.7,3.4
597,0.0,0.0,54.7,107.1,3.4
598,0.0,0.0,61.0,94.9,3.5
599,0.2,1.2,69.8,97.0,3.7
600,0.1,0.6,67.6,109.7,3.7
601,0.2,1.2,63.2,97.3,3.8
602,0.1,0.6,69.1,106.6,3.8
603,0.0,0.0,55.5,86.5,3.5
604,0.0,0.0,65.7,108.4,3.7
605,0.0,0.0,61.8,101.3,3.5
606,0.1,0.6,66.1,111.8,3.7
607,0.1,0.6,66.1,127.9,3.8
608,0.1,0.6,65.3,117.2,3.5
609,0.0,0.0,48.8,85.7,3.3
610,0.2,1.2,54.8,90.5,3.6
611,0.0,0.0,64.1,111.7,3.5
612,0.1,0.6,66.4,119.7,3.6
613,0.0,0.0,71.1,114.9,3.7
614,0.0,0.0,58.9,116.0,3.5
615,0.1,0.6,65.1,120.1,3.7
616,0.1,0.6,66.2,132.3,3.7
617,0.3,1.8,73.2,135.5,3.9
618,0.1,0.6,68.8,111.5,3.7
619,0.0,0.0,50.4,95.0,3.1
620,0.0,0.0,47.5,82.0,3.1
621,0.1,0.6,60.1,91.2,3.5
622,0.2,1.2,65.2,113.8,3.6
623,0.2,1.2,76.2,132.4,4.0
624,0.2,1.2,85.7,115.0,4.1
625,0.2,1.2,64.7,96.6,3.7
626,0.4,2.4,81.2,110.5,4.2
627,0.3,1.8,75.5,120.7,4.0
628,0.3,1.8,71.6,124.3,3.9
629,0.0,0.0,65.5,126.1,3.7
630,0.1,0.6,59.6,124.3,3.3
631,0.0,0.0,50.3,99.7,3.4
632,0.3,1.8,61.8,102.0,3.7
633,0.2,1.2,63.4,111.8,3.7
634,0.1,0.6,56.2,99.9,3.6
635,0.1,0.6,74.0,138.1,3.9
636,0.4,2.4,65.7,111.3,4.0
637,0.1,0.6,77.2,175.8,4.0
638,0.0,0.0,63.0,140.2,3.6
639,0.0,0.0,61.3,116.1,3.4
640,0.2,1.2,72.2,125.3,3.9
641,0.2,1.2,66.7,144.0,3.9
642,0.2,1.2,60.4,124.0,3.7
643,0.1,0.6,69.7,136.2,3.7
644,0.2,1.2,69.3,138.6,3.9
645,0.2,1.2,76.4,143.8,3.9
646,0.0,0.0,67.4,132.4,3.7
647,0.1,0.6,71.6,144.2,4.0
648,0.2,1.2,74.2,133.6,4.1
649,0.3,1.8,75.3,145.9,4.1
650,0.2,1.2,57.5,98.6,3.4
651,0.2,1.2,70.5,130.0,3.9
652,0.1,0.6,57.5,106.6,3.7
653,0.0,0.0,60.3,111.8,3.6
654,0.2,1.2,68.3,161.5,3.9
655,0.2,1.2,56.6,133.1,3.7
656,0.2,1.2,74.4,152.0,3.9
657,0.2,1.2,63.7,127.8,3.7
658,0.3,1.8,54.2,88.3,3.7
659,0.3,1.8,66.3,166.5,3.9
660,0.1,0.6,74.9,152.0,3.7
661,0.2,1.2,60.9,114.6,3.6
662,0.3,1.8,80.9,170.6,4.2
663,0.0,0.0,51.8,101.3,3.4
664,0.1,0.6,62.0,137.2,3.8
665,0.0,0.0,62.3,141.7,3.6
666,0.2,1.2,67.7,169.6,3.8
667,0.0,0.0,65.9,151.2,3.8
668,0.0,0.0,60.9,154.3,3.6
669,0.4,2.4,65.4,127.3,3.8
670,0.2,1.2,64.5,141.5,3.7
671,0.1,0.6,58.4,120.7,3.7
672,0.0,0.0,42.9,114.4,3.2
673,0.1,0.6,66.4,136.3,3.8
674,0.1,0.6,62.5,147.3,3.6
675,0.0,0.0,50.0,122.1,3.3
676,0.2,1.2,67.4,151.6,3.7
677,0.1,0.6,67.2,157.6,3.6
678,0.2,1.2,65.7,144.8,3.7
679,0.1,0.6,62.2,136.9,3.7
680,0.2,1.2,67.1,168.1,4.0
681,0.2,1.2,71.6,169.8,3.7
682,0.1,0.6,56.0,154.5,3.6
683,0.0,0.0,65.8,187.7,3.7
684,0.2,1.2,71.4,157.0,3.9
685,0.3,1.8,67.1,144.1,4.0
686,0.1,0.6,58.6,143.3,3.4
687,0.2,1.2,63.9,172.7,3.8
688,0.3,1.8,76.9,181.8,4.2
689,0.1,0.6,68.2,138.9,3.6
690,0.2,1.2,67.6,167.9,3.8
691,0.1,0.6,69.2,178.9,3.9
692,0.3,1.8,65.0,146.9,3.8
693,0.3,1.8,88.0,206.5,4.3
694,0.2,1.2,79.0,216.0,4.2
695,0.2,1.2,66.6,170.2,3.7
696,0.1,0.6,68.0,177.3,3.8
697,0.1,0.6,72.3,197.4,3.8
698,0.1,0.6,59.6,168.7,3.6
699,0.3,1.8,79.3,192.6,4.1
700,0.0,0.0,67.9,230.9,3.6
701,0.2,1.2,68.5,198.9,3.8
702,0.1,0.6,72.5,197.1,3.8
703,0.2,1.2,66.7,197.9,3.8
704,0.2,1.2,66.8,186.6,3.8
705,0.2,1.2,80.0,242.7,4.0
706,0.1,0.6,72.3,217.8,4.0
707,0.1,0.6,67.8,213.8,3.8
708,0.1,0.6,62.3,173.4,3.6
