,wins,rewards,scores,steps,high_tile
1483,0.375,2.25,75.0,1689.75,4.0
1484,0.0,0.0,63.125,1253.25,3.75
1485,0.0,0.0,66.75,1768.625,3.625
1486,0.125,0.75,66.75,1495.125,3.625
1487,0.125,0.75,65.75,1749.0,3.5
1488,0.25,1.5,64.5,1506.625,3.875
1489,0.125,0.75,54.875,2023.5,3.5
1490,0.0,0.0,49.125,1481.75,3.0
1491,0.125,0.75,71.375,1613.75,3.875
1492,0.25,1.5,79.25,1650.75,4.0
1493,0.25,1.5,69.125,1835.0,3.875
1494,0.0,0.0,60.375,1471.625,3.5
1495,0.25,1.5,80.75,2180.125,4.125
1496,0.0,0.0,61.875,1343.25,3.25
1497,0.125,0.75,76.75,1920.125,4.0
1498,0.125,0.75,65.5,1659.625,4.0
1499,0.125,0.75,69.5,1987.5,3.625
1500,0.375,2.25,79.25,1935.125,4.0
1501,0.25,1.5,65.625,1738.25,3.875
1502,0.25,1.5,71.75,2451.75,3.875
1503,0.375,2.25,86.875,2124.375,4.125
1504,0.125,0.75,68.125,1425.0,3.75
1505,0.125,0.75,73.125,1905.375,3.875
1506,0.5,3.0,84.625,2745.25,4.375
1507,0.0,0.0,76.875,2214.625,3.875
1508,0.375,2.25,80.375,2097.625,4.375
1509,0.0,0.0,63.375,1549.625,3.25
1510,0.25,1.5,77.875,2487.75,4.25
1511,0.125,0.75,78.75,1876.125,4.0
1512,0.25,1.5,58.75,1200.375,3.625
1513,0.25,1.5,79.625,1528.5,3.875
1514,0.375,2.25,80.75,1931.875,4.25
1515,0.125,0.75,74.25,1736.75,3.625
1516,0.125,0.75,62.375,1709.25,3.625
1517,0.0,0.0,47.75,1383.5,3.375
1518,0.125,0.75,68.125,2064.375,3.875
1519,0.25,1.5,96.75,2407.75,4.125
1520,0.375,2.25,85.375,1592.75,4.25
1521,0.125,0.75,63.875,1660.875,3.625
1522,0.25,1.5,76.25,1989.0,4.125
1523,0.125,0.75,67.5,1427.125,3.75
1524,0.375,2.25,85.375,2424.875,4.25
1525,0.375,2.25,80.125,2002.375,4.125
1526,0.125,0.75,68.0,2119.375,3.75
1527,0.0,0.0,69.0,2464.25,3.5
1528,0.125,0.75,72.375,2019.5,3.625
1529,0.375,2.25,66.75,1342.5,3.875
1530,0.125,0.75,57.125,1311.75,3.5
1531,0.375,2.25,84.125,2318.5,4.375
1532,0.0,0.0,74.625,1856.5,3.625
1533,0.125,0.75,66.25,1596.625,3.75
1534,0.375,2.25,72.75,2002.875,3.875
1535,0.25,1.5,82.75,2308.5,4.25
1536,0.375,2.25,74.5,1442.875,3.875
1537,0.0,0.0,67.25,1982.75,3.75
1538,0.25,1.5,67.875,1412.0,3.75
1539,0.125,0.75,65.125,1258.75,3.625
1540,0.0,0.0,66.25,1489.375,3.375
1541,0.5,3.0,80.0,2013.0,4.25
1542,0.0,0.0,62.875,1725.75,3.625
1543,0.25,1.5,75.5,2172.75,4.0
1544,0.25,1.5,83.125,2289.375,4.125
1545,0.25,1.5,71.625,1881.0,4.0
1546,0.25,1.5,71.375,2246.125,4.0
1547,0.125,0.75,54.875,1427.375,3.625
1548,0.125,0.75,68.75,1347.875,3.875
1549,0.125,0.75,73.375,2056.125,3.625
1550,0.125,0.75,90.5,1992.375,4.125
1551,0.25,1.5,74.875,1576.5,4.125
1552,0.125,0.75,76.0,1884.875,4.0
1553,0.25,1.5,59.875,1271.0,3.875
1554,0.375,2.25,84.625,2201.875,4.0
1555,0.5,3.0,83.0,2058.625,4.375
1556,0.125,0.75,73.75,1541.375,4.0
1557,0.375,2.25,84.75,1897.0,4.25
1558,0.375,2.25,72.5,1935.0,3.875
1559,0.125,0.75,78.0,1915.0,4.0
1560,0.0,0.0,78.0,1802.625,4.0
1561,0.0,0.0,79.125,1991.125,3.875
1562,0.25,1.5,86.875,2024.5,4.25
1563,0.125,0.75,66.0,1743.125,3.75
1564,0.5,3.0,88.375,2114.625,4.375
1565,0.25,1.5,82.625,1820.0,4.125
1566,0.25,1.5,91.0,2553.5,4.125
1567,0.25,1.5,69.625,1602.875,4.0
1568,0.375,2.25,71.25,1938.0,4.125
1569,0.0,0.0,75.0,2058.0,3.875
1570,0.125,0.75,73.5,2126.125,4.0
1571,0.0,0.0,75.75,1808.0,3.75
1572,0.125,0.75,73.25,1405.0,3.875
1573,0.25,1.5,75.75,2130.375,4.125
1574,0.125,0.75,66.625,1647.0,3.5
1575,0.25,1.5,68.375,1694.125,3.875
1576,0.25,1.5,77.125,2130.75,4.125
1577,0.0,0.0,58.875,1584.75,3.5
1578,0.25,1.5,76.375,2394.5,4.0
1579,0.0,0.0,71.0,1419.625,3.75
1580,0.375,2.25,79.5,2172.875,4.0
1581,0.375,2.25,70.75,1963.0,3.875
1582,0.125,0.75,66.375,1621.0,3.75
1583,0.125,0.75,51.875,1494.25,3.375
1584,0.125,0.75,77.5,2171.0,4.0
1585,0.125,0.75,72.625,1682.375,3.875
1586,0.0,0.0,66.25,1802.125,3.625
1587,0.25,1.5,71.5,2218.75,3.875
1588,0.0,0.0,71.625,2031.75,3.625
1589,0.5,3.0,74.625,2035.75,4.25
1590,0.0,0.0,60.125,1372.75,3.5
1591,0.25,1.5,62.375,1361.0,3.625
1592,0.25,1.5,79.375,2410.75,3.875
1593,0.125,0.75,63.75,1516.625,3.75
1594,0.25,1.5,57.125,1274.5,3.5
1595,0.25,1.5,79.125,2168.875,4.125
1596,0.25,1.5,62.5,1405.125,3.625
1597,0.25,1.5,79.5,2360.625,4.125
1598,0.125,0.75,65.25,1652.0,3.625
1599,0.0,0.0,49.125,1515.625,3.25
1600,0.25,1.5,67.875,1546.0,3.75
1601,0.25,1.5,76.125,1427.75,4.0
1602,0.375,2.25,77.0,1893.375,4.125
