,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
3079,47,False,60,12.00,5
3080,116,True,110,20.00,6
3081,79,False,69,14.00,5
3082,42,False,38,9.00,4
3083,37,False,38,9.00,4
3084,75,True,93,20.00,6
3085,62,False,91,14.00,5
3086,76,False,62,14.00,5
3087,52,False,36,9.00,4
3088,109,True,93,20.00,6
3089,58,True,91,20.00,6
3090,26,False,34,9.00,4
3091,84,False,78,14.00,5
3092,105,False,72,14.00,5
3093,32,False,34,9.00,4
3094,51,False,46,9.00,4
3095,61,False,52,14.00,5
3096,37,False,38,9.00,4
3097,56,False,66,14.00,5
3098,33,False,42,9.00,4
3099,42,False,64,14.00,5
3100,49,False,85,14.00,5
3101,69,False,84,14.00,5
3102,30,False,43,9.00,4
3103,47,False,60,14.00,5
3104,64,False,50,9.00,4
3105,61,True,109,20.00,6
3106,58,False,82,14.00,5
3107,59,False,73,14.00,5
3108,28,False,35,9.00,4
3109,57,False,55,7.00,4
3110,25,False,23,5.00,3
3111,45,True,92,20.00,6
3112,59,False,85,14.00,5
3113,36,False,43,9.00,4
3114,78,False,89,14.00,5
3115,71,False,66,14.00,5
3116,37,False,53,14.00,5
3117,63,True,91,20.00,6
3118,79,False,55,9.00,4
3119,74,False,97,14.00,5
3120,70,False,89,14.00,5
3121,119,False,128,14.00,5
3122,25,False,23,5.00,3
3123,54,False,73,12.00,5
3124,63,False,87,14.00,5
3125,102,True,104,20.00,6
3126,72,False,86,14.00,5
3127,55,False,63,14.00,5
3128,66,False,102,14.00,5
3129,70,True,102,20.00,6
3130,15,False,6,2.00,2
3131,57,False,67,14.00,5
3132,45,False,45,9.00,4
3133,60,False,66,12.00,5
3134,37,False,46,14.00,5
3135,54,False,83,14.00,5
3136,52,False,68,14.00,5
3137,53,False,68,14.00,5
3138,37,False,50,9.00,4
3139,59,True,98,20.00,6
3140,50,True,86,20.00,6
3141,54,False,84,14.00,5
3142,39,False,60,14.00,5
3143,92,False,78,14.00,5
3144,30,False,33,9.00,4
3145,48,False,72,14.00,5
3146,87,False,119,14.00,5
3147,59,False,62,14.00,5
3148,47,False,75,14.00,5
3149,51,False,56,12.00,5
3150,33,False,40,9.00,4
3151,48,False,64,9.00,4
3152,32,False,33,9.00,4
3153,66,False,87,14.00,5
3154,40,False,38,9.00,4
3155,21,False,21,5.00,3
3156,105,False,114,14.00,5
3157,38,True,91,20.00,6
3158,85,False,63,14.00,5
3159,37,False,32,7.00,4
3160,88,False,73,14.00,5
3161,42,False,64,14.00,5
3162,90,False,73,14.00,5
3163,87,False,72,14.00,5
3164,71,False,89,14.00,5
3165,66,False,60,14.00,5
3166,84,False,74,14.00,5
3167,72,False,67,14.00,5
3168,39,False,46,9.00,4
3169,63,False,83,14.00,5
3170,67,False,99,12.00,5
3171,92,False,48,9.00,4
3172,50,False,73,14.00,5
3173,23,False,16,5.00,3
3174,46,False,67,14.00,5
3175,72,True,84,20.00,6
3176,81,True,98,20.00,6
3177,100,True,108,20.00,6
3178,107,False,86,14.00,5
3179,24,False,21,5.00,3
3180,73,False,110,14.00,5
3181,60,False,81,14.00,5
3182,32,False,54,9.00,4
3183,49,False,48,9.00,4
3184,96,False,92,12.00,5
3185,56,False,78,14.00,5
3186,20,False,25,9.00,4
3187,52,False,73,14.00,5
3188,34,False,41,7.00,4
3189,52,False,76,14.00,5
3190,45,False,49,9.00,4
3191,86,False,74,14.00,5
3192,105,False,41,7.00,4
3193,93,False,91,14.00,5
3194,36,False,25,5.00,3
3195,52,False,54,14.00,5
3196,112,False,69,14.00,5
3197,70,True,105,20.00,6
3198,42,False,32,7.00,4
3199,471,False,91,14.00,5
3200,69,False,65,14.00,5
3201,71,True,93,20.00,6
3202,43,False,41,9.00,4
3203,45,False,55,14.00,5
3204,24,False,21,5.00,3
3205,144,True,135,20.00,6
3206,51,False,41,9.00,4
3207,53,False,62,14.00,5
3208,64,True,91,20.00,6
3209,63,False,78,14.00,5
3210,40,False,36,9.00,4
3211,59,False,45,9.00,4
3212,55,False,56,14.00,5
3213,106,False,91,14.00,5
3214,48,False,57,14.00,5
3215,75,False,45,9.00,4
3216,53,True,86,20.00,6
3217,58,False,46,9.00,4
3218,34,False,38,9.00,4
3219,76,False,75,14.00,5
3220,137,True,111,20.00,6
3221,42,False,45,9.00,4
3222,82,False,63,14.00,5
3223,53,False,80,14.00,5
3224,155,False,106,14.00,5
3225,90,False,98,14.00,5
3226,89,False,82,14.00,5
3227,65,False,69,14.00,5
3228,58,False,69,14.00,5
3229,56,False,76,14.00,5
3230,62,True,93,20.00,6
3231,40,False,36,9.00,4
3232,98,True,89,20.00,6
3233,66,False,48,9.00,4
3234,41,False,37,9.00,4
3235,88,True,107,20.00,6
3236,93,False,78,14.00,5
3237,24,False,22,5.00,3
3238,37,False,39,9.00,4
3239,39,False,58,14.00,5
3240,82,False,66,14.00,5
3241,218,False,89,14.00,5
3242,50,False,52,9.00,4
3243,56,False,13,5.00,3
3244,83,False,93,12.00,5
3245,91,False,50,14.00,5
3246,53,False,41,9.00,4
3247,83,False,80,14.00,5
3248,144,False,50,9.00,4
3249,60,False,62,14.00,5
3250,76,False,89,14.00,5
3251,49,False,71,14.00,5
3252,246,True,109,20.00,6
3253,78,False,95,14.00,5
3254,74,False,85,12.00,5
3255,47,False,57,14.00,5
3256,35,False,36,9.00,4
3257,72,False,71,14.00,5
3258,165,False,104,14.00,5
3259,84,True,87,20.00,6
3260,41,False,53,9.00,4
3261,58,False,70,14.00,5
3262,95,False,61,9.00,4
3263,72,True,91,20.00,6
3264,48,True,86,20.00,6
3265,26,False,23,5.00,3
3266,66,False,82,14.00,5
3267,71,False,73,14.00,5
3268,101,True,103,20.00,6
3269,41,False,49,9.00,4
3270,31,False,39,9.00,4
3271,61,False,76,14.00,5
3272,85,False,69,14.00,5
3273,74,False,69,14.00,5
3274,82,False,71,14.00,5
3275,32,False,46,9.00,4
3276,147,False,89,14.00,5
3277,54,False,50,9.00,4
3278,95,False,73,14.00,5
3279,90,False,80,14.00,5
3280,92,False,83,14.00,5
3281,67,False,84,14.00,5
3282,64,False,80,14.00,5
3283,56,False,43,9.00,4
3284,260,False,83,14.00,5
3285,107,True,100,20.00,6
3286,73,False,52,9.00,4
3287,101,True,109,20.00,6
3288,101,True,104,20.00,6
3289,37,False,25,9.00,4
3290,105,True,99,20.00,6
3291,20,False,18,9.00,4
3292,35,False,33,9.00,4
3293,50,True,82,20.00,6
3294,103,False,77,14.00,5
3295,76,False,85,14.00,5
3296,121,False,104,14.00,5
3297,84,False,79,14.00,5
3298,75,True,97,20.00,6
3299,148,False,78,14.00,5
3300,45,False,52,9.00,4
3301,194,True,103,20.00,6
3302,78,False,73,12.00,5
3303,23,False,14,5.00,3
3304,77,True,104,20.00,6
3305,31,False,39,9.00,4
3306,48,False,39,9.00,4
3307,91,False,94,14.00,5
3308,41,False,39,9.00,4
3309,59,False,78,14.00,5
3310,68,False,80,14.00,5
3311,69,False,66,14.00,5
3312,80,False,78,12.00,5
3313,40,False,46,9.00,4
3314,69,False,37,9.00,4
3315,42,False,38,9.00,4
3316,144,False,76,14.00,5
3317,82,False,85,12.00,5
3318,142,False,67,14.00,5
3319,62,False,64,14.00,5
3320,29,False,32,9.00,4
3321,67,True,93,20.00,6
3322,77,True,112,20.00,6
3323,80,False,86,14.00,5
3324,55,False,73,14.00,5
3325,54,False,59,14.00,5
3326,47,False,81,14.00,5
3327,56,False,71,14.00,5
3328,130,False,94,14.00,5
3329,145,True,83,20.00,6
3330,103,True,95,20.00,6
3331,48,False,57,14.00,5
3332,72,False,66,14.00,5
3333,179,True,135,20.00,6
3334,100,False,128,14.00,5
3335,35,False,50,9.00,4
3336,34,False,34,7.00,4
3337,77,True,97,20.00,6
3338,60,False,77,14.00,5
3339,101,True,89,20.00,6
3340,82,False,83,14.00,5
3341,71,False,60,14.00,5
3342,52,False,62,14.00,5
3343,65,False,73,14.00,5
3344,43,False,44,9.00,4
3345,87,False,91,14.00,5
3346,148,True,113,20.00,6
3347,36,False,53,9.00,4
3348,62,True,96,20.00,6
3349,79,False,67,14.00,5
3350,177,True,106,20.00,6
3351,44,False,67,14.00,5
3352,40,False,34,7.00,4
3353,61,True,92,20.00,6
3354,233,False,53,9.00,4
3355,62,False,77,14.00,5
3356,51,True,87,20.00,6
3357,71,False,61,9.00,4
3358,36,False,48,7.00,4
3359,140,True,132,20.00,6
3360,71,False,67,14.00,5
3361,154,True,110,18.00,6
3362,88,True,89,20.00,6
3363,81,False,81,14.00,5
3364,74,True,96,20.00,6
3365,61,False,84,14.00,5
3366,74,False,70,14.00,5
3367,33,False,52,9.00,4
3368,51,False,66,14.00,5
3369,63,False,76,14.00,5
3370,69,False,75,14.00,5
3371,39,False,55,14.00,5
3372,119,True,102,20.00,6
3373,73,False,71,14.00,5
3374,150,False,75,14.00,5
3375,59,False,33,9.00,4
3376,64,False,87,14.00,5
3377,41,False,45,9.00,4
3378,110,False,41,9.00,4
