,eps_len,eps_win,eps_score,eps_rewards,eps_max_tile
1374,102,True,233,233,7
1375,88,True,205,205,7
1376,112,False,260,260,6
1377,153,False,306,306,6
1378,117,False,203,203,6
1379,98,False,193,193,6
1380,113,True,243,243,7
1381,97,False,200,200,6
1382,86,False,145,145,5
1383,68,False,114,114,5
1384,116,True,250,250,7
1385,114,False,233,233,6
1386,104,False,222,222,6
1387,98,True,222,222,7
1388,105,True,227,227,7
1389,77,True,197,197,7
1390,103,True,223,223,7
1391,89,False,185,185,6
1392,167,True,367,367,7
1393,114,False,250,250,6
1394,150,True,319,319,7
1395,92,True,207,207,7
1396,84,False,157,157,6
1397,113,False,230,230,6
1398,88,True,208,208,7
1399,110,False,194,194,6
1400,88,False,182,182,6
1401,101,True,224,224,7
1402,67,False,84,84,4
1403,121,True,294,294,7
1404,111,True,243,243,7
1405,64,False,118,118,5
1406,93,False,186,186,6
1407,97,True,232,232,7
1408,104,True,234,234,7
1409,65,False,101,101,5
1410,116,True,261,261,7
1411,70,False,130,130,5
1412,88,False,175,175,6
1413,117,False,244,244,6
1414,83,True,193,193,7
1415,87,False,164,164,6
1416,86,False,169,169,6
1417,97,True,207,207,7
1418,123,True,277,277,7
1419,109,False,236,236,6
1420,152,False,325,325,6
1421,130,True,311,311,7
1422,93,False,194,194,6
1423,106,True,240,240,7
1424,182,False,347,347,6
1425,99,True,205,205,7
1426,165,True,285,285,7
1427,112,True,246,246,7
1428,115,False,215,215,6
1429,73,True,182,182,7
1430,90,True,217,217,7
1431,91,False,195,195,6
1432,99,False,214,214,6
1433,85,True,210,210,7
1434,100,True,235,235,7
1435,89,False,188,188,6
1436,77,False,155,155,6
1437,64,False,108,108,5
1438,110,True,251,251,7
1439,90,True,205,205,7
1440,82,False,142,142,6
1441,122,True,271,271,7
1442,103,True,239,239,7
1443,112,True,263,263,7
1444,111,True,262,262,7
1445,114,True,247,247,7
1446,111,False,210,210,6
1447,112,True,234,234,7
1448,103,True,237,237,7
1449,96,False,193,193,6
1450,91,False,172,172,6
1451,101,False,185,185,6
1452,103,False,231,231,6
1453,115,True,248,248,7
1454,123,True,293,293,7
1455,94,False,196,196,6
1456,120,True,289,289,7
1457,93,False,181,181,6
1458,139,True,311,311,7
1459,86,True,201,201,7
1460,46,False,67,67,4
1461,88,False,182,182,6
1462,108,False,220,220,6
1463,101,False,210,210,6
1464,95,True,226,226,7
1465,105,True,244,244,7
1466,103,False,200,200,6
1467,105,True,253,253,7
1468,91,True,213,213,7
1469,78,False,167,167,6
1470,111,True,238,238,7
1471,118,False,259,259,6
1472,109,False,215,215,6
1473,89,True,211,211,7
1474,83,True,192,192,7
1475,121,True,262,262,7
1476,111,True,221,221,7
1477,119,True,247,247,7
1478,94,True,212,212,7
1479,124,True,235,235,7
1480,77,False,162,162,6
1481,106,False,215,215,6
1482,107,True,247,247,7
1483,80,True,208,208,7
1484,122,True,240,240,7
1485,112,True,253,253,7
1486,102,False,189,189,6
1487,109,True,237,237,7
1488,97,False,187,187,6
1489,118,False,228,228,6
1490,121,True,234,234,7
1491,116,True,240,240,7
1492,85,False,162,162,6
1493,119,False,223,223,6
1494,83,True,199,199,7
1495,124,True,283,283,7
1496,131,True,273,273,7
1497,98,True,220,220,7
1498,107,True,240,240,7
1499,92,False,185,185,6
1500,116,False,260,260,6
1501,114,False,223,223,6
1502,98,True,238,238,7
1503,85,False,157,157,6
1504,98,True,222,222,7
1505,68,False,101,101,5
